danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,class
0.447,0.782,4,-6.473,0,0.169,0.0191,0.245,0.471,0.0364,130.121,172091,edm
0.294,0.92,10,-2.471,0,0.0635,4.11E-05,2.32E-04,0.0804,0.582,184.007,228720,rock
0.607,0.954,7,-6.194,1,0.141,0.0223,5.67E-05,0.0332,0.791,103.252,290147,r&b
0.595,0.659,0,-4.472,0,0.0607,0.0721,0,0.23,0.338,126.026,174286,edm
0.745,0.637,8,-4.946,1,0.0439,0.0206,0,0.0721,0.531,97.955,228400,rap
0.778,0.79,1,-4.859,1,0.0428,0.0629,0,0.0929,0.916,118.992,222101,latin
0.437,0.81,10,-7.004,0,0.0518,0.186,0,0.371,0.315,137.542,301647,rap
0.603,0.894,6,-3.11,0,0.0419,0.00204,8.08E-04,0.356,0.387,124.031,246109,edm
0.762,0.697,11,-6.626,0,0.103,0.298,0,0.0999,0.53,91.984,147391,rap
0.735,0.798,11,-5.811,0,0.121,0.0924,3.62E-06,0.0978,0.245,106.006,188491,rap
0.621,0.901,2,-5.396,1,0.0302,0.17,0,0.0875,0.744,113.967,300773,rock
0.654,0.751,8,-7.508,0,0.105,0.246,0.0179,0.167,0.568,92.781,272507,rap
0.707,0.589,5,-8.347,0,0.288,0.108,0,0.102,0.641,148.154,150742,rap
0.686,0.903,7,-4.604,1,0.171,7.88E-04,0.00247,0.2,0.0391,129.995,225231,edm
0.687,0.644,4,-7.927,0,0.075,0.0276,0,0.0875,0.199,141.018,254481,rap
0.407,0.834,6,-9.224,1,0.208,0.0734,2.10E-04,0.241,0.71,121.38,205293,rock
0.551,0.59,0,-7.309,0,0.209,0.225,0,0.102,0.674,180.101,194333,pop
0.634,0.861,10,-4.58,1,0.107,0.0356,0,0.0831,0.569,121.903,172131,edm
0.756,0.486,9,-6.491,0,0.2,0.138,0,0.116,0.586,98.05,236296,r&b
0.707,0.771,1,-7.559,1,0.0368,0.157,0,0.113,0.698,107.829,275067,r&b
0.34,0.775,11,-4.832,0,0.0551,0.00547,2.69E-04,0.27,0.226,75.199,225877,edm
0.567,0.717,1,-7.634,1,0.309,0.0301,0,0.131,0.701,159.66,264747,rap
0.783,0.483,1,-8.963,1,0.127,0.212,0,0.185,0.299,100.036,158400,rap
0.627,0.633,10,-7.41,0,0.0305,0.133,7.07E-05,0.216,0.763,85.999,194053,pop
0.646,0.882,6,-5.648,0,0.0346,0.143,9.67E-06,0.335,0.908,120.837,257093,rock
0.887,0.594,1,-7.7,1,0.294,0.204,1.54E-06,0.0858,0.663,139.97,179627,rap
0.559,0.301,9,-9.066,1,0.0297,0.055,0.00979,0.101,0.177,116.123,244333,r&b
0.723,0.554,1,-7.012,1,0.356,0.00819,1.31E-04,0.106,0.102,168.119,151429,rap
0.409,0.708,0,-6.001,1,0.0514,0.235,4.77E-05,0.157,0.272,80.12,258034,edm
0.747,0.544,0,-14.436,1,0.0447,0.127,0.601,0.11,0.347,89.999,337457,pop
0.758,0.871,9,-3.794,1,0.0516,0.0219,1.18E-06,0.0633,0.513,107.98,175556,latin
0.665,0.799,6,-2.868,0,0.0617,0.18,0,0.125,0.5,101.976,228112,r&b
0.503,0.741,4,-5.128,1,0.047,0.579,1.49E-06,0.0712,0.458,88.335,207030,edm
