title,author,price,pages,avg_reviews,n_reviews,dimensions,weight,language
In-Memory Analytics with Apache Arrow: Perform fast and efficient data analytics on both flat and hierarchical structured data,"[Matthew Topol,Wes McKinney]",44.99,392,5,8,7.5 x 0.92 x 9.25 inches,1.48 pounds,English
Data Analysis from Scratch with Python: The Complete Beginners Guide for Machine Learning Techniques and A Step Step NLP using Python Guide To Expert (Including Programming Interview Questions),[Stephen Richard],10.99,169,4.4,55,6 x 0.39 x 9 inches,8.3 ounces,English
Functional Data Analysis with R and MATLAB (Use R!),,69.51,214,4.7,10,6.1 x 0.51 x 9.25 inches,1.57 pounds,English
Dyadic Data Analysis (Methodology in the Social Sciences),,62.52,458,4.4,24,6.25 x 1.25 x 9.25 inches,1.68 pounds,English
The 4-Step Thematic Data Analysis With MAXQDA,[Dr. Michael Amanfi],60,141,4.8,39,8.5 x 0.34 x 11 inches,14.4 ounces,English
Learning Spark: Lightning-Fast Data Analytics,"[Jules Damji,Brooke Wenig et al.]",55.37,397,4.7,154,7.25 x 1 x 9.25 inches,1.4 pounds,English
Analytics: Data Science Data Analysis and Predictive Analytics for Business,[Daniel Covington],21.97,291,3.9,66,6 x 0.66 x 9 inches,13.9 ounces,English
Practical Data Analysis with JMP Third Edition,[Robert Carver],54.99,442,3.5,3,7.5 x 1 x 9.25 inches,1.65 pounds,English
Python for Finance: Mastering Data-Driven Finance,[Yves Hilpisch],53.65,720,4.6,256,7 x 1.6 x 9.1 inches,2.27 pounds,English
Applied Spatial Data Analysis with R (Use R! 10),"[Roger S. Bivand,Edzer Pebesma et al.]",72.47,423,4.5,26,6.1 x 0.96 x 9.25 inches,1.42 pounds,English
Hands-On Exploratory Data Analysis with R: Become an expert in exploratory data analysis using R packages,"[Radhika Datar,Harish Garg]",29.99,266,3.2,6,7.5 x 0.6 x 9.25 inches,1.02 pounds,English
The Data Collection Toolkit: Everything You Need to Organize Manage and Monitor Classroom Data,[Cindy Golden],42.95,264,4.5,126,8.4 x 0.7 x 10.9 inches,1.75 pounds,English
Qualitative Data Analysis with ATLAS.ti,[Susanne Friese],50,344,4.7,30,6.69 x 0.78 x 9.53 inches,1.3 pounds,English
C++ Programming: Program Design Including Data Structures (MindTap Course List),[D. S. Malik],98.7,1728,4.4,162,7.75 x 2.5 x 9.25 inches,5.35 pounds,English
Regression Analysis with Python,"[Luca Massaron,Alberto Boschetti]",46.99,312,4.1,10,7.5 x 0.71 x 9.25 inches,1.19 pounds,English
Longitudinal Data Analysis for the Behavioral Sciences Using R,[Jeffrey D. Long],96.91,568,4.4,8,7 x 1.25 x 10 inches,2.49 pounds,English
Practical SQL 2nd Edition: A Beginners Guide to Storytelling with Data,[Anthony DeBarros],27.99,427,4.7,60,7.08 x 1.09 x 9.32 inches,2.05 pounds,English
Python Crash Course for Data Analysis: A Complete Beginner Guide for Python Coding NumPy Pandas and Data Visualization (Machine Learning & Data Science for Beginners),,17.99,174,4.1,41,6 x 0.4 x 9 inches,8.4 ounces,English
Bayesian Modeling and Computation in Python (Chapman & Hall/CRC Texts in Statistical Science),,75.32,398,4.2,17,7 x 0.94 x 10 inches,2.08 pounds,English
Random Data: Analysis and Measurement Procedures,"[Julius S. Bendat,Allan G. Piersol]",168.89,640,4.2,27,6.5 x 1.5 x 9.6 inches,2.03 pounds,English
Data Envelopment Analysis: Let the Data Speak for Themselves,[Joe Zhu],49.99,182,4.6,7,6.14 x 0.43 x 9.21 inches,12.3 ounces,English
Hands-On Financial Modeling with Microsoft Excel 2019: Build practical models for forecasting valuation trading and growth analysis using Excel 2019,[Shmuel Oluwa],33.29,292,4.2,110,7.5 x 0.66 x 9.25 inches,1.11 pounds,English
Statistics for Machine Learning: Implement Statistical methods used in Machine Learning using Python (English Edition),[Himanshu Singh],26.95,278,4,19,7.5 x 0.63 x 9.25 inches,15.8 ounces,English
Eco-Stats: Data Analysis in Ecology: From t-tests to Multivariate Abundances (Methods in Statistical Ecology),[David I Warton],139.99,445,,0,6.14 x 1 x 9.21 inches,1.76 pounds,English
Thematic Analysis: A Practical Guide,"[Virginia Braun,Victoria Clarke]",45,376,4.9,191,6.69 x 0.78 x 9.61 inches,1.32 pounds,English
Modes of Thinking for Qualitative Data Analysis,[Melissa Freeman],36.79,136,4.9,18,6 x 0.35 x 9 inches,8.1 ounces,English
A Common-Sense Guide to Data Structures and Algorithms Second Edition: Level Up Your Core Programming Skills,[Jay Wengrow],39.71,508,4.7,514,7.5 x 1.25 x 9.25 inches,2.08 pounds,English
Topological Data Analysis for Genomics and Evolution: Topology in Biology,"[Raul Rabadan,Andrew J. Blumberg]",43.03,324,4.5,31,7 x 1.25 x 10 inches,2.47 pounds,English
Mathematical Statistics and Data Analysis (with CD Data Sets) (Available 2010 Titles Enhanced Web Assign),,168.7,688,3.8,110,7.56 x 1.32 x 9.36 inches,2.6 pounds,English
Hands-On Time Series Analysis with R: Perform time series analysis and forecasting using R,,33.29,448,4.4,53,7.5 x 1.01 x 9.25 inches,1.68 pounds,English
Exploratory Data Analysis with MATLABÂ® (Chapman & Hall/CRC Computer Science & Data Analysis),,55.37,590,4,3,,2.54 pounds,English
Performing Data Analysis Using IBM SPSS,"[Lawrence S. Meyers,Glenn C. Gamst et al.]",82.99,736,4.5,30,8.6 x 1.54 x 11.05 inches,3.82 pounds,English
Next Generation Data Management: Using Your Data Assets to Drive Mission Success,"[Dr Mark Brady,Barry Lyons et al.]",38,335,,0,6 x 0.76 x 9 inches,1.27 pounds,English
Applied Longitudinal Data Analysis: Modeling Change and Event Occurrence,"[Judith D. Singer,John B. Willett]",78.49,644,4.5,54,9.54 x 6.46 x 1.41 inches,2.39 pounds,English
Text Data Management and Analysis: A Practical Introduction to Information Retrieval and Text Mining (ACM Books),,95.95,532,4.3,13,7.5 x 1.07 x 9.25 inches,2.33 pounds,English
Applied Survey Data Analysis (Chapman & Hall/CRC Statistics in the Social and Behavioral Sciences),,54.95,568,4.8,22,6.14 x 1.34 x 9.21 inches,3.31 pounds,English
Fundamentals of Data Visualization: A Primer on Making Informative and Compelling Figures,[Claus O. Wilke],51.49,390,4.6,180,7 x 0.7 x 9.1 inches,1.8 pounds,English
Numerical Methods Using Java: For Data Science Analysis and Engineering,[Haksun Li PhD],32.92,1200,5,1,6.9 x 1.7 x 10.1 inches,5.45 pounds,English
Data Analysis with Microsoft Power BI,[Brian Larson],43.15,544,3.8,12,7.2 x 1.3 x 9.1 inches,1.7 pounds,English
Python: - The Bible- 3 Manuscripts in 1 book: -Python Programming For Beginners -Python Programming For Intermediates -Python Programming for Advanced (Your place to learn Python with ease),[Maurice J. Thompson],27.97,375,4.3,4033,6 x 0.85 x 9 inches,1.11 pounds,English
Mastering Vim: Build a software development environment with Vim and Neovim,[Ruslan Osipov],44.99,330,4.8,27,7.5 x 0.75 x 9.25 inches,1.25 pounds,English
Hands-On Network Forensics: Investigate network attacks and find evidence using common network forensic tools,[Nipun Jaswal],37.99,358,4.4,36,7.5 x 0.81 x 9.25 inches,1.36 pounds,English
Python: 3 books in 1- Your complete guide to python programming with Python for Beginners Python Data Analysis and Python Machine Learning (Programming Languages for Beginners),[Brady Ellison],24.95,472,4.7,119,6 x 1.07 x 9 inches,1.63 pounds,English
Pandas for Everyone: Python Data Analysis (Addison-Wesley Data & Analytics Series),,38.91,416,4.5,264,7 x 1 x 8.9 inches,1.5 pounds,English
Real World Health Care Data Analysis: Causal Methods and Implementation Using SASÂ®: Causal Methods and Implementation Using SASÂ®,"[Douglas Faries,Xiang Zhang et al.]",84.95,436,4.2,5,8.25 x 0.99 x 11 inches,2.15 pounds,English
Introduction to Functional Data Analysis (Chapman & Hall/CRC Texts in Statistical Science),,54.95,306,3.8,11,6.25 x 0.5 x 9.25 inches,1.25 pounds,English
Adjustment Computations: Spatial Data Analysis,[Charles D. Ghilani],100.98,720,4.5,18,6.3 x 1.8 x 9 inches,2.35 pounds,English
DATA ANALYTICS: Simple and Effective Tips and Tricks to Learn Data Analytics Effectively,[Benjamin Smith],19.99,167,5,2,6 x 0.38 x 9 inches,8.2 ounces,English
Artificial Intelligence with Power BI: Take your data analytics skills to the next level leveraging the AI capabilities in Power BI,[Mary-Jo Diepeveen],46.99,348,4.4,10,7.5 x 0.79 x 9.25 inches,1.32 pounds,English
Hands on Azure Data Studio: Microsofts Open Platform for Data Engineering and Analytics,[Jim Miller],9.99,142,4.3,5,6 x 0.32 x 9 inches,7.1 ounces,English
Data Structures & Algorithm Analysis in C++,[Mark Weiss],177.32,664,4.2,91,1.1 x 7.5 x 9.2 inches,2.54 pounds,English
The Esri Guide to GIS Analysis Volume 2: Spatial Measurements and Statistics,,45.49,288,4.7,15,7.5 x 0.65 x 9.25 inches,1.45 pounds,English
The Handbook for Collaborative Common Assessments: Tools for Design Delivery and Data Analysis (Practical Measures for Improving Your Collaborative Common Assessment Process),[Cassandra Erkens],39.95,264,4.8,7,8.75 x 0.75 x 11.25 inches,1.65 pounds,English
Learn Microsoft PowerApps: Build customized business applications without writing any code,[Matthew Weston],39.89,560,4.2,164,7.5 x 1.27 x 9.25 inches,2.09 pounds,English
Software Architecture Patterns for Serverless Systems: Architecting for innovation with events autonomous services and micro frontends,"[John Gilbert,Ed Price]",45,436,4.8,21,7.5 x 0.99 x 9.25 inches,1.64 pounds,English
Bayesian Statistics the Fun Way: Understanding Statistics and Probability with Star Wars LEGO and Rubber Ducks,[Will Kurt],33.2,256,4.6,462,7 x 0.66 x 9.25 inches,1.1 pounds,English
The Data Revolution: A Critical Analysis of Big Data Open Data and Data Infrastructures,[Rob Kitchin],42,376,5,2,6.69 x 0.85 x 9.53 inches,1.46 pounds,English
Data Structures and Algorithm Analysis in Java,[Mark Weiss],132.98,648,4.4,97,7.75 x 1.65 x 9.4 inches,2.12 pounds,English
Azure Synapse Analytics Cookbook: Implement a limitless analytical platform using effective recipes for Azure Synapse,"[Gaurav Agarwal,Meenakshi Muralidharan et al.]",41.99,238,4.3,8,7.5 x 0.54 x 9.25 inches,14.7 ounces,English
CompTIA Data+ Study Guide: Exam DA0-001,"[Mike Chapple,Sharif Nijim]",34.18,368,4.7,31,7.32 x 0.87 x 9.13 inches,1.35 pounds,English
The Science of Deep Learning,[Iddo Drori],59.99,450,,0,6.89 x 0.79 x 9.84 inches,1.8 pounds,English
Inside Deep Learning: Math Algorithms Models,[Edward Raff],45.2,600,5,6,7.38 x 1.7 x 9.25 inches,2.7 pounds,English
Mathematical Aspects of Deep Learning,"[Philipp Grohs,Gitta Kutyniok]",89.99,485,,0,,1.74 pounds,English
Deep Learning for Coders with Fastai and PyTorch: AI Applications Without a PhD,"[Jeremy Howard,Sylvain Gugger]",36.99,624,4.8,418,6.9 x 1.1 x 9.1 inches,2.05 pounds,English
Practical Deep Learning: A Python-Based Introduction,[Ronald T. Kneusel],36.54,464,4.8,35,7.06 x 1.13 x 9.25 inches,1.94 pounds,English
Deep Learning with PyTorch: Build train and tune neural networks using Python tools,"[Eli Stevens,Luca Antiga et al.]",36.26,520,4.4,93,7.38 x 1 x 9.25 inches,1.98 pounds,English
Deep Learning from Scratch: Building with Python from First Principles,[Seth Weidman],38.99,252,4.4,79,7 x 0.53 x 9.19 inches,14.4 ounces,English
Learning Deep Learning: Theory and Practice of Neural Networks Computer Vision Natural Language Processing and Transformers Using TensorFlow,[Magnus Ekman],53.23,752,4.7,66,7.3 x 1.1 x 9 inches,2.43 pounds,English
Deep Learning: A Visual Approach,[Andrew Glassner],56.99,776,4.7,90,7.06 x 1.34 x 9.25 inches,3.7 pounds,English
Deep Learning with Python Second Edition,[Francois Chollet],37.23,504,4.6,148,7.38 x 1.4 x 9.25 inches,2.3 pounds,English
Deep Learning (The MIT Press Essential Knowledge series),,13.99,296,4.5,305,5.06 x 0.74 x 6.94 inches,9.3 ounces,English
Deep Learning (Adaptive Computation and Machine Learning series),,54.25,800,4.3,1862,9.1 x 7.2 x 1.1 inches,2.54 pounds,English
Deep Learning Illustrated: A Visual Interactive Guide to Artificial Intelligence (Addison-Wesley Data & Analytics Series),,44.39,416,4.5,189,7 x 0.95 x 9.05 inches,1.28 pounds,English
Deep Learning Architectures: A Mathematical Approach (Springer Series in the Data Sciences),,58.99,790,4.2,14,6.14 x 1.57 x 9.21 inches,3.26 pounds,English
Foundations of Deep Reinforcement Learning: Theory and Practice in Python (Addison-Wesley Data & Analytics Series),,45.59,416,4.4,82,6.93 x 0.71 x 9.21 inches,1.32 pounds,English
Dive Into Deep Learning: Tools for Engagement,"[Joanne Quinn,Joanne J. McEachen et al.]",38.95,296,4.7,36,8.4 x 0.7 x 10.9 inches,1.79 pounds,English
Fundamentals of Deep Learning: Designing Next-Generation Machine Intelligence Algorithms,"[Nithin Buduma,Joe Papa et al.]",50.99,387,,0,7 x 0.75 x 9.25 inches,1.4 pounds,English
Deep Learning with TensorFlow 2 and Keras: Regression ConvNets GANs RNNs NLP and more with TensorFlow 2 and the Keras API 2nd Edition,"[Antonio Gulli,Amita Kapoor et al.]",33.21,646,4.5,116,7.5 x 1.46 x 9.25 inches,2.41 pounds,English
Deep Learning with JavaScript: Neural networks in TensorFlow.js,"[Shanqing Cai,Stan Bileschi et al.]",43.49,560,4.8,28,7.38 x 1.1 x 9.25 inches,2.16 pounds,English
Deep Learning in Science,[Pierre Baldi],47.55,450,4.7,4,7.8 x 0.8 x 9.8 inches,2.03 pounds,English
Applied Deep Learning and Computer Vision for Self-Driving Cars: Build autonomous vehicles using deep neural networks and behavior-cloning techniques,"[Sumit Ranjan,Dr. S. Senthamilarasu]",44.99,332,3.8,23,7.5 x 0.75 x 9.25 inches,1.26 pounds,English
Deep Learning for Vision Systems,[Mohamed Elgendy],39.49,480,4.8,53,7.38 x 1 x 9.25 inches,1.94 pounds,English
Deep Reinforcement Learning Hands-On: Apply modern RL methods to practical problems of chatbots robotics discrete optimization web automation and more 2nd Edition,[Maxim Lapan],54.99,826,4.5,143,7.5 x 1.87 x 9.25 inches,3.07 pounds,English
Modern Computer Vision with PyTorch: Explore deep learning concepts and implement over 50 real-world image applications,"[V Kishore Ayyadevara,Yeshwanth Reddy]",48.84,824,4.6,51,7.5 x 1.86 x 9.25 inches,3.06 pounds,English
Synthetic Data for Deep Learning: Generate Synthetic Data for Decision Making and Applications with Python and R,"[Necmi GÃ¼rsakal,Sadullah Ã‡elik et al.]",44.99,250,,0,,1.11 pounds,English
Geometry of Deep Learning: A Signal Processing Perspective (Mathematics in Industry 37),[Jong Chul Ye],66.27,346,3.6,6,6.14 x 0.81 x 9.21 inches,1.52 pounds,English
Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,"[Sebastian Raschka,Yuxi (Hayden) Liu et al.]",46.79,770,4.7,135,7.5 x 1.74 x 9.25 inches,2.86 pounds,English
Production-Ready Applied Deep Learning: Learn how to construct and deploy complex models in PyTorch and TensorFlow deep learning frameworks,"[Tomasz Palczewski,Jaejun (Brandon) Lee et al.]",47.49,322,,0,7.5 x 0.73 x 9.25 inches,1.22 pounds,English
Grokking Deep Reinforcement Learning,[Miguel Morales],49.99,472,4.7,47,7.38 x 1 x 9.25 inches,1.94 pounds,English
Deep Learning for the Life Sciences: Applying Deep Learning to Genomics Microscopy Drug Discovery and More,"[Bharath Ramsundar,Peter Eastman et al.]",48.49,236,4.2,48,7 x 0.5 x 9.19 inches,12.8 ounces,English
Deep Learning in Production,[Sergios Karagiannakos],29.99,223,4.7,12,7.5 x 0.53 x 9.25 inches,15.2 ounces,English
Math for Deep Learning: What You Need to Know to Understand Neural Networks,[Ronald T. Kneusel],36.49,344,4.5,22,7.06 x 0.79 x 9.19 inches,13 ounces,English
Introduction to Deep Learning (The MIT Press),[Eugene Charniak],35,192,4,32,9.1 x 7.1 x 0.8 inches,1.2 pounds,English
The Principles of Deep Learning Theory: An Effective Theory Approach to Understanding Neural Networks,"[Daniel A. Roberts,Sho Yaida et al.]",75.99,472,4.7,10,7 x 1 x 10 inches,1.98 pounds,English
Practical Deep Learning for Cloud Mobile and Edge: Real-World AI & Computer-Vision Projects Using Python Keras & TensorFlow,"[Anirudh Koul,Siddha Ganju et al.]",55.43,620,4.6,110,7 x 1.68 x 9.19 inches,2.15 pounds,English
Deep Learning: Engage the World Change the World,"[Michael Fullan,Joanne Quinn et al.]",32.33,208,4.5,66,7 x 0.47 x 10 inches,15.5 ounces,English
Grokking Deep Learning,[Andrew Trask],39.49,336,4.4,138,7.38 x 0.7 x 9.25 inches,1.32 pounds,English
Practical Deep Learning at Scale with MLflow: Bridge the gap between offline experimentation and online production,"[Yong Liu,Dr. Matei Zaharia]",44.99,288,4.8,8,7.5 x 0.65 x 9.25 inches,1.1 pounds,English
Deep Learning For Dummies,"[John Paul Mueller,Luca Massaron]",19.89,368,4.5,33,7.4 x 0.9 x 9.1 inches,1.45 pounds,English
Deep Learning with Python,[Francois Chollet],32.49,384,4.6,1349,7.38 x 0.8 x 9.25 inches,1.59 pounds,English
Deep Generative Modeling,[Jakub M. Tomczak],70,215,5,1,6.14 x 0.56 x 9.21 inches,1.09 pounds,English
Generative Deep Learning: Teaching Machines to Paint Write Compose and Play,[David Foster],46.99,330,4.5,189,7.01 x 0.69 x 9.17 inches,1.15 pounds,English
Artificial Intelligence Example: Acquire advanced AI machine learning and deep learning design skills 2nd Edition,[Denis Rothman],39.99,578,4.2,30,7.5 x 1.31 x 9.25 inches,2.16 pounds,English
Deep Learning for NLP and Speech Recognition,"[Uday Kamath,John Liu et al.]",97.31,649,4.6,49,7 x 1.38 x 10 inches,3.12 pounds,English
Deep Neural Evolution: Deep Learning with Evolutionary Computation (Natural Computing Series),,66.59,452,5,1,6.1 x 1.07 x 9.25 inches,1.52 pounds,English
Hands-On Python Natural Language Processing: Explore tools and techniques to analyze and process text with a view to building real-world NLP applications,"[Aman Kedia,Mayank Rasu]",39.99,316,4.6,22,7.5 x 0.72 x 9.25 inches,1.2 pounds,English
DEEP LEARNING WITH MATLAB,[Perez],25.99,247,,0,8.27 x 0.56 x 11.69 inches,1.64 pounds,English
Guide to Deep Learning Basics: Logical Historical and Philosophical Perspectives,[Sandro Skansi],14.59,148,,0,6.1 x 0.34 x 9.25 inches,1 pounds,English
Building Machine Learning and Deep Learning Models on Google Cloud Platform: A Comprehensive Guide for Beginners,[Ekaba Bisong],28.02,738,4.6,9,6.75 x 1.5 x 10 inches,3.05 pounds,English
Deep Learning with R,"[Francois Chollet,J. J. Allaire]",46.99,360,4.5,100,7.38 x 0.8 x 9.25 inches,1.5 pounds,English
Deep Learning for Natural Language Processing,[Stephan Raaijmakers],49.99,325,,0,7.38 x 0.73 x 9.25 inches,1.07 pounds,English
Python Machine Learning for Beginners: Learning from scratch NumPy Pandas Matplotlib Seaborn Scikitlearn and TensorFlow for Machine Learning and ... Learning & Data Science for Beginners),,19.99,304,4.5,55,6 x 0.69 x 9 inches,14.6 ounces,English
Adversarial Deep Learning in Cybersecurity: Attack Taxonomies Defence Mechanisms and Learning Theories,"[Aneesh Sreevallabh Chivukula,Xinghao Yang et al.]",199.99,260,,0,,1.74 pounds,English
Hands-On Machine Learning with Scikit-Learn Keras and TensorFlow: Concepts Tools and Techniques to Build Intelligent Systems,[AurÃ©lien GÃ©ron],75.99,850,,0,,1.11 pounds,English
Black Hat Python 2nd Edition: Python Programming for Hackers and Pentesters,"[Justin Seitz,Tim Arnold]",37.49,216,4.7,342,6.9 x 0.7 x 9.1 inches,14.4 ounces,English
Modern Deep Learning for Tabular Data: Novel Approaches to Common Modeling Problems,"[Andre Ye,Andy Wang]",49.99,839,,0,,1.11 pounds,English
Probabilistic Deep Learning: With Python Keras and TensorFlow Probability,"[Oliver Duerr,Beate Sick et al.]",49.99,296,4.2,15,7.38 x 0.6 x 9.25 inches,1.23 pounds,English
High-Dimensional Data Analysis with Low-Dimensional Models: Principles Computation and Applications,"[John Wright,Yi Ma]",75.99,650,4.8,12,6.75 x 1.5 x 9.75 inches,3.15 pounds,English
Transformers for Natural Language Processing: Build train and fine-tune deep neural network architectures for NLP with Python PyTorch TensorFlow BERT and GPT-3 2nd Edition,"[Denis Rothman,Antonio Gulli]",39.89,564,4.7,32,7.5 x 1.28 x 9.25 inches,2.11 pounds,English
Memorable teaching: Leveraging memory to build deep and durable learning in the classroom (High Impact Teaching series),[Peps Mccrea],14.95,112,4.6,192,5.4 x 0.2 x 8 inches,3.2 ounces,English
Deep Reinforcement Learning in Action,"[Alexander Zai,Brandon Brown]",49.2,325,4.2,16,7.38 x 0.8 x 9.25 inches,1.56 pounds,English
Artificial Intelligence with Python Cookbook: Proven recipes for applying AI algorithms and deep learning techniques using TensorFlow 2.x and PyTorch 1.6,[Ben Auffarth],39.99,468,4.5,24,7.5 x 1.06 x 9.25 inches,1.76 pounds,English
Hands-On Image Generation with TensorFlow: A practical guide to generating images and videos using deep learning,[Soon Yau Cheong],40.59,306,4.8,14,7.5 x 0.69 x 9.25 inches,1.16 pounds,English
Modern Deep Learning Design and Application Development: Versatile Tools to Solve Deep Learning Problems,[Andre Ye],49.44,472,5,1,7.01 x 1.07 x 10 inches,1.96 pounds,English
Deep Learning with Keras: Implementing deep learning models and neural networks with the power of Python,"[Antonio Gulli,Sujit Pal]",51.99,318,3.5,52,7.5 x 0.72 x 9.25 inches,1.21 pounds,English
Hands-On Genetic Algorithms with Python: Applying genetic algorithms to solve real-world deep learning and artificial intelligence problems,[Eyal Wirsansky],41.99,346,4.6,53,7.5 x 0.78 x 9.25 inches,1.31 pounds,English
Engineering Deep Learning Systems,"[Chi Wang,Donald Szeto]",59.99,325,,0,7.38 x 0.81 x 9.25 inches,13.6 ounces,English
Evolutionary Deep Learning: Genetic algorithms and neural networks,[Michael Lanham],59.99,350,,0,7.38 x 0.88 x 9.25 inches,14.7 ounces,English
Transformers for Natural Language Processing: Build innovative deep neural network architectures for NLP with Python PyTorch TensorFlow BERT RoBERTa and more,[Denis Rothman],40.59,384,4.2,95,7.5 x 0.87 x 9.25 inches,1.45 pounds,English
Introduction to Deep Learning for Healthcare,"[Cao Xiao,Jimeng Sun]",55.49,243,4.1,6,6.14 x 0.63 x 9.21 inches,1.18 pounds,English
Deep Learning and Physics (Mathematical Physics Studies),,99.99,224,2,1,6.1 x 0.53 x 9.25 inches,12.3 ounces,English
R Deep Learning Essentials: A step--step guide to building deep learning models using TensorFlow Keras and MXNet 2nd Edition,"[Mark Hodnett,Joshua F. Wiley]",41.99,378,4.1,8,7.5 x 0.86 x 9.25 inches,1.43 pounds,English
Implement NLP use-cases using BERT: Explore the Implementation of NLP Tasks Using the Deep Learning Framework and Python (English Edition),[Amandeep],29.95,164,3,2,6 x 0.37 x 9 inches,8.1 ounces,English
Machine Learning at Scale with H2O: A practical guide to building and deploying machine learning models on enterprise systems,"[Gregory Keys,David Whiting]",39.99,396,5,2,7.5 x 0.9 x 9.25 inches,1.49 pounds,English
Python: The Complete Crash Course to Learn Python in One Week Machine Learning and Deep Learning with Hands-On Exercises,[frad willson],14.99,229,,0,6 x 0.52 x 9 inches,14.4 ounces,English
Pro Deep Learning with TensorFlow: A Mathematical Approach to Advanced Artificial Intelligence in Python,[Santanu Pattanayak],69.99,419,4.1,32,7.01 x 0.96 x 10 inches,17.45 pounds,English
ARTIFICIAL INTELLIGENCE WITH MATLAB. DEEP LEARNING ARCHITECTURES,[Perez],25.99,199,,0,8.27 x 0.45 x 11.69 inches,1.35 pounds,English
GANs in Action: Deep learning with Generative Adversarial Networks,"[Jakub Langr,Vladimir Bok]",37.99,276,4.2,33,7.38 x 0.4 x 9.25 inches,1.01 pounds,English
From Curiosity to Deep Learning: Personal Digital Inquiry in Grades K-5,"[Julie Coiro,Elizabeth Dobler et al.]",33.06,256,4.6,10,8 x 0.7 x 9.9 inches,1.37 pounds,English
Deep Learning Applications of Short-range Radars,"[Avik Santra,Souvik Hazra]",179,350,5,1,6.2 x 1 x 9.2 inches,1.59 pounds,English
Deep Learning Cookbook: Practical Recipes to Get Started Quickly,[Douwe Osinga],37.3,251,4.5,17,7 x 0.53 x 9.19 inches,1 pounds,English
Deep Reinforcement Learning with Python: With PyTorch TensorFlow and OpenAI Gym,[Nimish Sanghi],36.49,404,4.3,10,7.01 x 0.91 x 10 inches,1.69 pounds,English
Empowering Young Children,[Wendy Ostroff],34.95,170,,0,5.98 x 0.39 x 9.02 inches,11 ounces,English
Deep Discourse: A Framework for Cultivating Student-Led Discussions -Use Conversation to Raise Student Learning Motivation and Engagement in K-12 Classrooms,"[Sandi Novak,Cara Slattery]",36.95,184,5,4,8.5 x 0.5 x 10.75 inches,1.15 pounds,English
Purposeful Play: A Teachers Guide to Igniting Deep and Joyful Learning Across the Day,"[Kristine Mraz,Alison Porcelli et al.]",28.34,184,4.7,348,7.4 x 0.44 x 9.3 inches,12.8 ounces,English
Generative AI with Python and TensorFlow 2: Create images text and music with VAEs GANs LSTMs Transformer models,"[Joseph Babcock,Raghav Bali]",37.99,488,4.3,22,7.5 x 1.1 x 9.25 inches,1.83 pounds,English
DEEP LEARNING TOOLS: NEURAL NETWORKS USING MATLAB,[Perez],25.99,205,,0,8.27 x 0.47 x 11.69 inches,1.38 pounds,English
Embedded Deep Learning: Algorithms Architectures and Circuits for Always-on Neural Network Processing,"[Bert Moons,Daniel Bankman et al.]",88.12,222,5,1,6.1 x 0.51 x 9.25 inches,1 pounds,English
Learning Unix for OS X: Going Deep With the Terminal and Shell,[Dave Taylor],24.99,238,4.4,77,7 x 0.54 x 9.19 inches,14.5 ounces,English
Hands-On Natural Language Processing with PyTorch 1.x: Build smart AI-driven linguistic applications using deep learning and NLP techniques,[Thomas Dop],41.99,276,3.7,5,7.5 x 0.63 x 9.25 inches,1.06 pounds,English
Python Deep Learning Projects: 9 projects demystifying neural network and deep learning models for building intelligent systems,"[Matthew Lamons,Rahul Kumar et al.]",46.99,472,3.9,5,7.5 x 1.07 x 9.25 inches,1.77 pounds,English
Deep Learning Pipeline: Building a Deep Learning Model with TensorFlow,"[Hisham El-Amir,Mahmoud Hamdy]",15.43,580,2,1,6.1 x 1.31 x 9.25 inches,1.94 pounds,English
Machine Learning for Cybersecurity: Innovative Deep Learning Solutions (SpringerBriefs in Computer Science),[Marwan Omar],54.99,56,,0,,1.11 pounds,English
Beginning Deep Learning with TensorFlow: Work with Keras MNIST Data Sets and Advanced Neural Networks,"[Liangqu Long,Xiangming Zeng]",28.98,740,,0,6.1 x 1.67 x 9.25 inches,2.46 pounds,English
Cultivating Curiosity in K-12 Classrooms: How to Promote and Sustain Deep Learning,[Wendy L. Ostroff],21.9,176,4.5,48,6.9 x 0.6 x 8.9 inches,8.8 ounces,English
Machine Learning for Economics and Finance in TensorFlow 2: Deep Learning Models for Research and Industry,[Isaiah Hull],48.04,384,3.3,3,6.1 x 0.91 x 9.25 inches,1.29 pounds,English
Machine Learning for Algorithmic Trading: Predictive models to extract signals from market and alternative data for systematic trading strategies with Python 2nd Edition,[Stefan Jansen],44.99,820,4.5,243,7.5 x 1.85 x 9.25 inches,3.05 pounds,English
The Deep Learning AI Playbook: Strategy for Disruptive Artificial Intelligence,[Carlos E Perez],29,367,3.7,12,6 x 0.92 x 9 inches,1.19 pounds,English
Risk Modeling: Practical Applications of Artificial Intelligence Machine Learning and Deep Learning (Wiley and SAS Business Series),"[Terisa Roberts,Stephen J. Tonna]",47.92,208,,0,6.2 x 0.9 x 9.1 inches,13.6 ounces,English
AI and Machine Learning for Coders: A Programmers Guide to Artificial Intelligence,[Laurence Moroney],38.49,392,4.7,127,6.93 x 1.18 x 8.98 inches,1.9 pounds,English
Building Computer Vision Projects with OpenCV 4 and C++: Implement complex computer vision algorithms and explore deep learning and face detection,"[David Millan Escriva,Prateek Joshi et al.]",49.99,538,4.1,31,7.5 x 1.22 x 9.25 inches,2.01 pounds,English
