title,author,price,pages,avg_reviews,n_reviews,dimensions,weight,language
Introduction to Data Science: Data Analysis and Prediction Algorithms with R (Chapman & Hall/CRC Data Science Series),,77.28,713,4.8,34,7 x 1.6 x 10.1 inches,3.67 pounds,English
Introduction to Machine Learning with R: Rigorous Mathematical Analysis,[Scott V. Burger],49.99,226,4.1,21,7 x 0.48 x 9.19 inches,14.3 ounces,English
PYTHON FOR DATA SCIENCE: The Ultimate Beginnersâ€™ Guide to Learning Python Data Science Step Step,[Mr Ethan Williams],19.99,199,4.3,68,6 x 0.45 x 9 inches,9.6 ounces,English
97 Things About Ethics Everyone in Data Science Should Know: Collective Wisdom from the Experts,[Bill Franks],30.99,346,4.1,18,6 x 0.72 x 9 inches,1.02 pounds,English
Data Science for Marketing Analytics: A practical guide to forming a killer marketing strategy through data analysis with Python 2nd Edition,"[Mirza Rahim Baig,Gururajan Govindan et al.]",36.99,636,4.6,51,7.5 x 1.44 x 9.25 inches,2.37 pounds,English
Video Data Analysis: How to Use 21st Century Video in the Social Sciences,"[Anne Nassauer,Nicolas M. Legewie]",45,320,5,1,6 x 0.67 x 9 inches,1.13 pounds,English
The Beginners Guide to Data Science,"[Robert Ball,Brian Rague]",69.99,382,,0,,1.74 pounds,English
Hands-On Data Science with R: Techniques to perform data manipulation and mining to build smart analytical models using R,"[Vitor Bianchi Lanzetta,Nataraj Dasgupta et al.]",39.99,420,4.1,5,7.5 x 0.95 x 9.25 inches,1.58 pounds,English
The Data Science Handbook: Advice and Insights from 25 Amazing Data Scientists,"[Carl Shan,William Chen et al.]",24.99,346,4.4,55,6 x 0.78 x 9 inches,12.6 ounces,English
Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python,"[Hariom Tatsat,Sahil Puri et al.]",44.49,432,4.3,51,7 x 1 x 9.1 inches,1.45 pounds,English
Practical Python Data Wrangling and Data Quality: Getting Started with Reading Cleaning and Analyzing Data,[Susan McGregor],31.99,,3.5,2,7 x 0.75 x 9.25 inches,1.45 pounds,English
Cracking the Data Science Interview: 101+ Data Science Questions & Solutions,[Maverick Lin],11.99,119,3.7,48,5.5 x 0.3 x 8.5 inches,5.6 ounces,English
SQL for Data Scientists: A Beginners Guide for Building Datasets for Analysis,[Renee M. P. Teate],32.49,288,4.7,54,7.38 x 0.65 x 9.25 inches,1.06 pounds,English
MLOps Engineering at Scale,[Carl Osipov],44.49,344,4.2,3,7.38 x 0.7 x 9.25 inches,1.61 pounds,English
The Data Science Design Manual (Texts in Computer Science),,52.05,462,4.8,63,7.2 x 1.1 x 9.4 inches,22.2 pounds,English
Big Data: A Very Short Introduction (Very Short Introductions),[Dawn E. Holmes],11.07,144,4.4,72,6.8 x 4.5 x 0.5 inches,4.3 ounces,English
SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,[Cathy Tanimura],40.49,360,4.7,50,6.75 x 0.75 x 8.75 inches,1.2 pounds,English
The Cyberwarrior Handbook: A Beginners Guide to Hacking from Recon to Exploitation,[OccupyTheWeb],49.99,352,,0,,13 ounces,English
Comet for Data Science: Enhance your ability to manage and optimize the life cycle of your data science project,"[Angelica Lo Duca,Gideon Mendels]",44.99,402,5,2,7.5 x 0.91 x 9.25 inches,1.52 pounds,English
Optimization for Data Analysis,"[Stephen J. Wright,Benjamin Recht]",38.91,238,5,2,6.25 x 0.75 x 9.25 inches,1.07 pounds,English
The Self-Taught Computer Scientist: The Beginners Guide to Data Structures & Algorithms,[Cory Althoff],19.49,224,4.5,87,7.38 x 0.51 x 9.25 inches,13.6 ounces,English
Quantitative Social Science: An Introduction in tidyverse,"[Kosuke Imai,Nora Webb Williams]",49.99,488,3.8,3,6.75 x 1 x 9.75 inches,1.92 pounds,English
Data Science Interview: Prep for SQL Panda Python R Language Machine Learning DBMS and RDBMS â€“ And More â€“ The Full Data Scientist Interview Handbook,[DSI ACE PREP],24.99,156,4.7,44,6 x 0.39 x 9 inches,7.1 ounces,English
The Data Vault Guru: a pragmatic guide on building a data vault,[Mr Patrick Cuba],76.96,676,4.1,13,8 x 1.59 x 10 inches,3.43 pounds,English
